Time (s),Distance (m)
0.03,1.05
0.04,1.07
0.06,1.09
0.08,1.13
0.1,1.17
0.12,1.17
0.14,1.2
0.16,1.22
0.19,1.28
0.2,1.29
0.23,1.32
0.24,1.34
0.27,1.41
0.28,1.44
0.3,1.47
0.32,1.5
0.34,1.54
0.36,1.57
0.39,1.62
0.4,1.65
0.42,1.68
0.44,1.71
0.46,1.73
0.48,1.76
0.51,1.8
0.52,1.82
0.54,1.87
0.56,1.9
0.58,1.93
0.6,1.96
0.63,1.99
0.64,2.03
0.67,2.06
0.68,2.12
0.71,2.17
0.72,2.18
0.75,2.22
0.76,2.24
0.78,2.29
0.8,2.31
0.82,2.36
0.84,2.42
0.86,2.45
0.88,2.46
0.9,2.5
0.92,2.54
0.95,2.58
0.96,2.61
0.99,2.65
1.0,2.68
1.03,2.71
1.04,2.74
1.06,2.78
1.08,2.81
1.11,2.83
1.12,2.85
1.14,2.89
1.16,2.93
1.19,2.98
1.2,3.02
1.23,3.05
1.24,3.09
1.26,3.12
1.28,3.14
1.31,3.18
1.32,3.21
1.35,3.26
1.36,3.29
1.39,3.35
1.4,3.36
1.42,3.4
1.44,3.41
1.47,3.46
1.48,3.49
1.51,3.53
1.52,3.58
1.55,3.62
1.56,3.63
1.59,3.68
1.6,3.71
1.63,3.76
1.64,3.77
1.67,3.83
1.68,3.87
1.71,3.92
1.72,3.95
1.74,3.97
1.76,4.02
1.78,4.03
1.8,4.08
1.83,4.12
1.84,4.15
1.86,4.18
1.88,4.22
1.91,4.26
1.92,4.28
1.94,4.33
1.96,4.34
1.99,4.39
2.0,4.42
2.02,4.44
2.04,4.5
2.07,4.52
2.08,4.57
2.11,4.61
2.12,4.65
2.14,4.68
2.16,4.71
2.18,4.75
2.2,4.8
2.22,4.84
2.24,4.87
2.27,4.92
2.28,4.96
2.3,4.98
2.32,5.01
2.35,5.06
2.36,5.08
2.38,5.12
2.4,5.13
2.43,5.2
2.44,5.23
2.46,5.25
2.48,5.3
2.5,5.33
2.52,5.4
2.54,5.41
2.56,5.48
2.59,5.51
2.6,5.52
2.63,5.58
2.64,5.59
2.67,5.66
2.68,5.67
2.7,5.71
2.72,5.73
2.74,5.78
2.76,5.8
2.79,5.86
2.8,5.88
2.83,5.92
2.84,5.96
2.87,6.0
2.88,6.03
2.91,6.06
2.92,6.1
2.94,6.12
2.96,6.15
2.99,6.21
3.0,6.24
3.02,6.29
3.04,6.31
3.07,6.37
3.08,6.4
3.11,6.44
3.12,6.46
3.15,6.51
3.16,6.53
3.19,6.59
3.2,6.63
3.22,6.66
3.24,6.68
3.27,6.72
3.28,6.75
3.3,6.77
3.32,6.84
3.35,6.89
3.36,6.91
3.39,6.96
3.4,6.98
3.42,7.02
3.44,7.06
3.46,7.09
3.48,7.13
3.5,7.16
3.52,7.23
3.55,7.26
3.56,7.29
3.59,7.3
3.6,7.33
3.62,7.37
3.64,7.4
3.66,7.44
3.68,7.46
3.7,7.5
3.72,7.56
3.75,7.59
3.76,7.61
3.79,7.64
3.8,7.69
3.83,7.71
3.84,7.74
3.87,7.8
3.88,7.83
3.9,7.85
3.92,7.9
3.94,7.94
3.96,7.96
3.98,8.01
4.0,8.04
4.03,8.08
4.04,8.1
4.06,8.14
4.08,8.17
4.1,8.2
4.12,8.21
4.14,8.27
4.16,8.32
4.18,8.35
4.2,8.38
4.23,8.41
4.24,8.44
4.27,8.51
4.28,8.52
4.3,8.57
4.32,8.6
4.34,8.65
4.36,8.68
4.38,8.69
4.4,8.74
