Time (s),Distance (m)
0.02,1.04
0.05,1.04
0.06,1.06
0.09,1.07
0.1,1.08
0.13,1.1
0.14,1.11
0.16,1.12
0.18,1.13
0.2,1.15
0.22,1.17
0.24,1.19
0.26,1.22
0.28,1.24
0.31,1.26
0.33,1.28
0.34,1.28
0.36,1.3
0.38,1.34
0.41,1.35
0.42,1.37
0.44,1.4
0.46,1.42
0.49,1.46
0.5,1.49
0.52,1.52
0.54,1.54
0.56,1.57
0.58,1.59
0.6,1.59
0.62,1.6
0.65,1.64
0.66,1.67
0.68,1.69
0.7,1.71
0.72,1.71
0.74,1.73
0.76,1.75
0.78,1.78
0.81,1.8
0.82,1.83
0.85,1.84
0.86,1.84
0.89,1.88
0.9,1.89
0.92,1.9
0.94,1.92
0.97,1.94
0.98,1.96
1.0,1.99
1.02,2.01
1.04,2.03
1.06,2.06
1.09,2.07
1.1,2.08
1.12,2.12
1.14,2.15
1.17,2.19
1.18,2.19
1.2,2.22
1.22,2.24
1.24,2.26
1.26,2.3
1.28,2.3
1.3,2.32
1.32,2.35
1.34,2.39
1.36,2.42
1.38,2.44
1.4,2.46
1.42,2.46
1.44,2.49
1.46,2.5
1.48,2.52
1.5,2.54
1.52,2.56
1.54,2.57
1.56,2.58
1.58,2.59
1.61,2.62
1.62,2.63
1.64,2.66
1.66,2.67
1.69,2.72
1.7,2.73
1.72,2.74
1.74,2.77
1.76,2.78
1.78,2.81
1.8,2.83
1.82,2.84
1.84,2.86
1.86,2.9
1.89,2.93
1.9,2.94
1.92,2.96
1.94,2.98
1.97,3.0
1.98,3.02
2.01,3.05
2.02,3.06
2.04,3.08
2.06,3.1
2.08,3.11
2.1,3.13
2.12,3.15
2.14,3.17
2.16,3.19
2.18,3.2
2.21,3.22
2.22,3.23
2.24,3.26
2.26,3.27
2.28,3.3
2.3,3.32
2.32,3.35
2.34,3.37
2.37,3.39
2.38,3.41
2.41,3.44
2.42,3.45
2.44,3.46
2.46,3.51
2.49,3.53
2.5,3.55
2.52,3.57
2.54,3.6
2.57,3.62
2.58,3.65
2.6,3.66
2.62,3.69
2.64,3.71
2.66,3.75
2.68,3.76
2.7,3.77
2.73,3.8
2.74,3.81
2.76,3.85
2.78,3.85
2.8,3.88
2.82,3.89
2.84,3.93
2.86,3.95
2.88,3.97
2.9,4.0
2.92,4.0
2.94,4.01
2.97,4.05
2.98,4.07
3.0,4.1
3.02,4.12
3.04,4.14
3.06,4.18
3.08,4.21
3.1,4.21
3.12,4.26
3.14,4.28
3.16,4.3
3.18,4.32
3.2,4.34
3.22,4.36
3.25,4.38
3.26,4.41
3.29,4.44
3.3,4.45
3.33,4.48
3.34,4.5
3.37,4.53
3.38,4.54
3.41,4.57
3.42,4.57
3.45,4.59
3.46,4.6
3.49,4.63
3.5,4.66
3.53,4.69
3.54,4.68
3.57,4.72
3.58,4.73
3.6,4.77
3.62,4.79
3.65,4.82
3.66,4.86
3.69,4.89
3.7,4.91
3.73,4.93
3.74,4.95
3.77,4.98
3.78,5.0
3.81,5.02
3.82,5.03
3.85,5.08
3.86,5.1
3.88,5.12
3.9,5.14
3.92,5.16
3.94,5.19
3.96,5.2
3.98,5.23
4.01,5.26
4.02,5.26
4.04,5.28
4.06,5.29
4.09,5.33
4.1,5.34
4.12,5.35
4.14,5.39
4.16,5.4
4.18,5.43
4.21,5.46
4.22,5.48
4.25,5.51
4.26,5.52
4.29,5.56
4.3,5.59
4.33,5.62
4.34,5.65
4.36,5.67
4.38,5.71
4.41,5.74
4.42,5.75
4.45,5.76
4.46,5.78
4.49,5.8
4.5,5.83
4.53,5.85
4.54,5.87
4.56,5.88
4.58,5.9
4.6,5.91
4.62,5.94
4.64,5.96
4.66,5.96
4.68,6.0
4.7,6.03
4.73,6.03
4.74,6.05
4.77,6.07
4.78,6.07
4.8,6.09
4.82,6.12
4.84,6.14
4.86,6.17
4.89,6.21
4.9,6.24
4.93,6.27
4.94,6.28
4.97,6.33
4.98,6.35
5.01,6.37
5.02,6.41
5.04,6.4
5.06,6.44
5.08,6.48
5.1,6.52
5.12,6.51
5.14,6.55
5.16,6.58
5.18,6.61
5.2,6.62
5.22,6.61
5.24,6.63
5.26,6.66
5.28,6.69
5.3,6.7
5.32,6.72
5.34,6.72
5.36,6.74
5.38,6.78
5.41,6.8
5.42,6.83
5.45,6.85
5.46,6.88
5.49,6.92
5.5,6.94
5.52,6.96
5.54,6.97
5.56,7.03
5.58,7.05
5.61,7.09
5.62,7.08
5.64,7.14
5.66,7.14
5.68,7.17
5.7,7.2
5.72,7.22
5.74,7.22
5.77,7.28
5.78,7.28
5.81,7.3
5.82,7.29
5.85,7.29
5.86,7.32
5.89,7.32
5.9,7.35
