Time (s),Distance (m)
0.02,1.04
0.05,1.04
0.06,1.07
0.09,1.08
0.1,1.1
0.12,1.11
0.14,1.13
0.16,1.15
0.18,1.17
0.2,1.19
0.22,1.22
0.24,1.25
0.26,1.26
0.28,1.27
0.3,1.29
0.33,1.3
0.34,1.32
0.36,1.34
0.38,1.35
0.4,1.36
0.42,1.38
0.45,1.4
0.46,1.41
0.48,1.43
0.51,1.46
0.52,1.47
0.54,1.48
0.56,1.49
0.58,1.51
0.61,1.53
0.62,1.53
0.64,1.56
0.66,1.58
0.69,1.59
0.7,1.6
0.72,1.62
0.74,1.65
0.77,1.68
0.78,1.7
0.8,1.7
0.82,1.72
0.85,1.74
0.86,1.76
0.89,1.78
0.9,1.8
0.93,1.82
0.94,1.85
0.97,1.87
0.98,1.89
1.01,1.92
1.02,1.92
1.04,1.94
1.06,1.96
1.08,1.97
1.1,1.99
1.12,2.01
1.14,2.04
1.16,2.05
1.18,2.05
1.2,2.07
1.22,2.08
1.24,2.12
1.26,2.13
1.28,2.15
1.3,2.17
1.32,2.18
1.34,2.19
1.37,2.21
1.38,2.22
1.4,2.25
1.42,2.27
1.45,2.29
1.46,2.3
1.48,2.32
1.5,2.34
1.52,2.38
1.54,2.41
1.57,2.45
1.58,2.45
1.6,2.47
1.62,2.5
1.64,2.52
1.66,2.54
1.68,2.55
1.7,2.56
1.73,2.59
1.74,2.6
1.77,2.62
1.78,2.65
1.8,2.66
1.82,2.68
1.84,2.7
1.86,2.71
1.89,2.74
1.9,2.74
1.92,2.75
1.94,2.77
1.96,2.79
1.98,2.78
2.0,2.8
2.02,2.82
2.04,2.85
2.06,2.86
2.09,2.87
2.1,2.88
2.12,2.91
2.14,2.94
2.16,2.95
2.18,2.97
2.2,2.99
2.22,3.01
2.25,3.04
2.26,3.07
2.29,3.09
2.3,3.1
2.32,3.12
2.34,3.14
2.36,3.16
2.38,3.18
2.4,3.21
2.42,3.21
2.44,3.25
2.46,3.26
2.49,3.29
2.5,3.3
2.52,3.34
2.54,3.34
2.56,3.35
2.58,3.37
2.6,3.38
2.62,3.39
2.64,3.41
2.66,3.43
2.68,3.44
2.7,3.46
2.73,3.48
2.74,3.49
2.76,3.51
2.78,3.52
2.81,3.56
2.82,3.57
2.84,3.59
2.86,3.62
2.88,3.63
2.9,3.65
2.92,3.68
2.94,3.69
2.96,3.71
2.98,3.73
3.01,3.76
3.02,3.79
3.04,3.8
3.06,3.82
3.08,3.83
3.1,3.86
3.12,3.88
3.14,3.9
3.16,3.92
3.18,3.93
3.2,3.94
3.22,3.96
3.25,3.97
3.26,3.99
3.28,4.0
3.3,4.02
3.32,4.04
3.34,4.06
3.37,4.06
3.38,4.09
3.4,4.1
3.42,4.11
3.44,4.1
3.46,4.13
3.49,4.14
3.5,4.16
3.52,4.18
3.54,4.18
3.57,4.22
3.58,4.23
3.6,4.25
3.62,4.27
3.64,4.31
3.66,4.33
3.68,4.34
3.7,4.35
3.72,4.38
3.74,4.41
3.77,4.42
3.78,4.44
3.8,4.47
3.82,4.48
3.84,4.49
3.86,4.54
3.88,4.55
3.9,4.56
3.92,4.59
3.94,4.6
3.96,4.62
3.98,4.64
4.01,4.65
4.02,4.69
4.04,4.7
4.06,4.72
4.08,4.73
4.1,4.74
4.13,4.77
4.14,4.77
4.16,4.8
4.18,4.8
4.2,4.81
4.22,4.84
4.24,4.86
4.26,4.88
4.28,4.9
4.3,4.92
4.32,4.96
4.34,4.95
4.36,4.98
4.38,4.98
4.41,5.01
4.42,5.03
4.44,5.06
4.46,5.06
4.48,5.08
4.5,5.1
4.52,5.13
4.54,5.15
4.57,5.17
4.58,5.17
4.6,5.18
4.62,5.2
4.64,5.21
4.66,5.24
4.68,5.24
4.7,5.26
4.73,5.28
4.74,5.29
4.76,5.29
4.78,5.31
4.8,5.32
4.82,5.35
4.85,5.37
4.86,5.37
4.88,5.4
4.9,5.4
4.92,5.43
4.94,5.45
4.97,5.45
4.98,5.47
5.0,5.49
5.02,5.52
5.04,5.53
5.06,5.54
5.09,5.56
5.1,5.61
5.12,5.61
5.14,5.63
5.17,5.68
5.18,5.68
5.2,5.69
5.22,5.7
5.25,5.74
5.26,5.75
5.29,5.77
5.3,5.8
5.32,5.81
5.34,5.82
5.36,5.84
5.38,5.87
5.41,5.88
5.42,5.9
5.44,5.92
5.46,5.9
5.48,5.95
5.5,5.98
5.52,5.98
5.54,6.0
5.56,6.02
5.58,6.01
5.61,6.02
5.62,6.04
5.64,6.06
5.66,6.07
5.69,6.08
5.7,6.1
5.72,6.1
5.74,6.12
5.76,6.16
5.78,6.17
5.8,6.2
5.82,6.2
5.84,6.23
5.86,6.27
5.88,6.28
5.9,6.28
